fecha,producto,categoría,cantidad,precio_unitario,total
2025-04-12,Fertilizante universal 1 kg,Jardinería,2,14.72,29.44
2025-04-12,Lija al agua grano 220,Pinturas,3,0.99,2.97
2025-04-12,Pintura látex blanca 1 gl,Pinturas,1,46.78,46.78
2025-04-13,Cable THW 12 AWG metro,Electricidad,1,3.55,3.55
2025-04-13,Canaleta PVC 20x10 mm,Electricidad,2,4.63,9.26
2025-04-13,Cinta métrica 5 m,Herramientas manuales,5,14.01,70.05
2025-04-13,Martillo de acero 16 oz,Herramientas manuales,2,26.48,52.96
2025-04-13,Tomacorriente doble,Electricidad,2,10.65,21.30
2025-04-13,Tomacorriente doble,Electricidad,4,11.12,44.48
2025-04-14,Arena fina saco 40 kg,Materiales de construcción,4,9.75,39.00
2025-04-14,Impermeabilizante 4 L,Materiales de construcción,10,73.86,738.60
2025-04-14,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,8,8.50,68.00
2025-04-15,Taladro percutor 650W,Herramientas eléctricas,1,185.49,185.49
2025-04-15,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,8,5.67,45.36
2025-04-16,Alambre recocido kg,Materiales de construcción,4,9.11,36.44
2025-04-16,Codo PVC 1/2 pulgada,Gasfitería,1,1.63,1.63
2025-04-16,Codo PVC 1/2 pulgada,Gasfitería,8,1.55,12.40
2025-04-17,Cinta aislante negra,Electricidad,1,3.58,3.58
2025-04-18,Cemento bolsa 42.5 kg,Materiales de construcción,4,28.66,114.64
2025-04-18,Foco LED 9W luz fría,Electricidad,10,6.94,69.40
2025-04-18,Ladrillo pandereta unidad,Materiales de construcción,6,0.97,5.82
2025-04-19,Cinta teflón 12 mm,Gasfitería,4,2.04,8.16
2025-04-19,Foco LED 9W luz fría,Electricidad,5,7.00,35.00
2025-04-19,Ladrillo pandereta unidad,Materiales de construcción,10,1.02,10.20
2025-04-19,Taladro percutor 650W,Herramientas eléctricas,1,198.07,198.07
2025-04-20,Alambre recocido kg,Materiales de construcción,3,9.18,27.54
2025-04-20,Cinta teflón 12 mm,Gasfitería,2,2.05,4.10
2025-04-20,Cinta teflón 12 mm,Gasfitería,1,2.02,2.02
2025-04-20,Pegamento PVC 1/4 gl,Gasfitería,4,17.57,70.28
2025-04-20,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,4,8.16,32.64
2025-04-21,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,154.63,154.63
2025-04-21,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,1,19.39,19.39
2025-04-21,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,10,8.71,87.10
2025-04-22,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,149.37,149.37
2025-04-22,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,5,19.57,97.85
2025-04-23,Mascarilla KN95 unidad,Seguridad industrial,10,2.51,25.10
2025-04-23,Pintura látex blanca 1 gl,Pinturas,4,49.40,197.60
2025-04-24,Codo PVC 1/2 pulgada,Gasfitería,3,1.57,4.71
2025-04-24,Destornillador plano 6 pulgadas,Herramientas manuales,1,8.99,8.99
2025-04-24,Guante de seguridad latex par,Seguridad industrial,5,6.82,34.10
2025-04-24,Martillo de acero 16 oz,Herramientas manuales,4,27.75,111.00
2025-04-24,Rodillo felpa 9 pulgadas,Pinturas,6,15.12,90.72
2025-04-24,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,1,10.15,10.15
2025-04-25,Ducha eléctrica 5500W,Gasfitería,3,91.18,273.54
2025-04-25,Rastrillo metálico,Jardinería,2,35.56,71.12
2025-04-25,Yeso bolsa 20 kg,Materiales de construcción,1,13.37,13.37
2025-04-26,Alambre recocido kg,Materiales de construcción,2,8.96,17.92
2025-04-26,Cemento bolsa 42.5 kg,Materiales de construcción,8,29.70,237.60
2025-04-26,Cemento bolsa 42.5 kg,Materiales de construcción,8,30.72,245.76
2025-04-27,Alicate universal 8 pulgadas,Herramientas manuales,5,24.48,122.40
2025-04-27,Arandela plana 1/4 ciento,Tornillería y fijaciones,8,6.75,54.00
2025-04-27,Foco LED 9W luz fría,Electricidad,15,7.06,105.90
2025-04-27,Ladrillo pandereta unidad,Materiales de construcción,1,0.96,0.96
2025-04-27,Martillo de acero 16 oz,Herramientas manuales,2,27.16,54.32
2025-04-27,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,5,9.10,45.50
2025-04-27,Tubo PVC agua 1/2 pulgada,Gasfitería,4,7.67,30.68
2025-04-29,Cinta métrica 5 m,Herramientas manuales,2,13.57,27.14
2025-04-30,Arena fina saco 40 kg,Materiales de construcción,10,9.48,94.80
2025-04-30,Cemento bolsa 42.5 kg,Materiales de construcción,15,30.03,450.45
2025-04-30,Codo PVC 1/2 pulgada,Gasfitería,3,1.58,4.74
2025-04-30,Rodillo felpa 9 pulgadas,Pinturas,6,15.30,91.80
2025-04-30,Serrucho carpintero 20 pulgadas,Herramientas manuales,5,35.27,176.35
2025-04-30,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,10,5.68,56.80
2025-05-01,Arena fina saco 40 kg,Materiales de construcción,20,9.74,194.80
2025-05-01,Cable THW 12 AWG metro,Electricidad,10,3.67,36.70
2025-05-01,Foco LED 9W luz fría,Electricidad,1,7.30,7.30
2025-05-01,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,1,8.23,8.23
2025-05-01,Tubo PVC agua 1/2 pulgada,Gasfitería,6,7.70,46.20
2025-05-02,Alicate universal 8 pulgadas,Herramientas manuales,1,25.10,25.10
2025-05-02,Cinta métrica 5 m,Herramientas manuales,2,13.67,27.34
2025-05-02,Juego de llaves mixtas 8 piezas,Herramientas manuales,2,58.62,117.24
2025-05-02,Pegamento cerámico 25 kg,Materiales de construcción,8,24.15,193.20
2025-05-03,Cemento bolsa 42.5 kg,Materiales de construcción,1,28.80,28.80
2025-05-03,Clavo para madera kg,Materiales de construcción,4,9.84,39.36
2025-05-03,Guante de seguridad latex par,Seguridad industrial,3,6.51,19.53
2025-05-03,Interruptor simple empotrable,Electricidad,2,9.00,18.00
2025-05-03,Ladrillo pandereta unidad,Materiales de construcción,5,0.97,4.85
2025-05-03,Lente de seguridad transparente,Seguridad industrial,10,9.54,95.40
2025-05-03,Nivel de burbuja 40 cm,Herramientas manuales,5,27.99,139.95
2025-05-04,Pintura látex blanca 1 gl,Pinturas,1,49.86,49.86
2025-05-04,Taladro percutor 650W,Herramientas eléctricas,1,199.45,199.45
2025-05-05,Arena fina saco 40 kg,Materiales de construcción,1,9.82,9.82
2025-05-05,Cemento bolsa 42.5 kg,Materiales de construcción,20,28.58,571.60
2025-05-05,Pegamento cerámico 25 kg,Materiales de construcción,6,22.67,136.02
2025-05-05,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,2,9.15,18.30
2025-05-06,Arena fina saco 40 kg,Materiales de construcción,20,9.54,190.80
2025-05-06,Cinta aislante negra,Electricidad,5,3.50,17.50
2025-05-06,Lijadora orbital 240W,Herramientas eléctricas,1,133.76,133.76
2025-05-06,Regadera plástica 10 L,Jardinería,2,26.95,53.90
2025-05-06,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,5,9.18,45.90
2025-05-07,Pintura látex blanca 1 gl,Pinturas,4,49.57,198.28
2025-05-08,Cemento bolsa 42.5 kg,Materiales de construcción,10,30.27,302.70
2025-05-08,Ladrillo pandereta unidad,Materiales de construcción,1,0.96,0.96
2025-05-10,Atornillador inalámbrico 12V,Herramientas eléctricas,1,181.43,181.43
2025-05-10,Cinta métrica 5 m,Herramientas manuales,1,13.28,13.28
2025-05-10,Cinta métrica 5 m,Herramientas manuales,5,14.25,71.25
2025-05-10,Pegamento cerámico 25 kg,Materiales de construcción,12,24.29,291.48
2025-05-10,Tomacorriente doble,Electricidad,1,10.94,10.94
2025-05-12,Cemento bolsa 42.5 kg,Materiales de construcción,5,29.06,145.30
2025-05-12,Pegamento PVC 1/4 gl,Gasfitería,3,17.43,52.29
2025-05-12,Tubo PVC agua 1/2 pulgada,Gasfitería,4,7.88,31.52
2025-05-13,Cable THW 12 AWG metro,Electricidad,2,3.58,7.16
2025-05-13,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,2,8.22,16.44
2025-05-14,Canaleta PVC 20x10 mm,Electricidad,8,4.54,36.32
2025-05-14,Cemento bolsa 42.5 kg,Materiales de construcción,12,30.49,365.88
2025-05-14,Cinta métrica 5 m,Herramientas manuales,2,13.96,27.92
2025-05-14,Interruptor simple empotrable,Electricidad,4,9.15,36.60
2025-05-14,Tubo PVC agua 1/2 pulgada,Gasfitería,6,7.48,44.88
2025-05-14,Tubo PVC agua 1/2 pulgada,Gasfitería,5,7.45,37.25
2025-05-15,Cinta métrica 5 m,Herramientas manuales,2,13.65,27.30
2025-05-15,Interruptor simple empotrable,Electricidad,10,8.80,88.00
2025-05-16,Alicate universal 8 pulgadas,Herramientas manuales,2,24.11,48.22
2025-05-16,Pintura látex marfil 1 gl,Pinturas,2,46.55,93.10
2025-05-16,Thinner acrílico 1 L,Pinturas,1,12.93,12.93
2025-05-16,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,10,8.54,85.40
2025-05-17,Cemento bolsa 42.5 kg,Materiales de construcción,20,29.54,590.80
2025-05-17,Rodillo felpa 9 pulgadas,Pinturas,1,15.11,15.11
2025-05-18,Cinta teflón 12 mm,Gasfitería,8,1.94,15.52
2025-05-18,Foco LED 9W luz fría,Electricidad,2,7.36,14.72
2025-05-19,Base selladora 1 gl,Pinturas,1,38.64,38.64
2025-05-20,Cinta teflón 12 mm,Gasfitería,4,2.02,8.08
2025-05-20,Cinta teflón 12 mm,Gasfitería,4,1.93,7.72
2025-05-20,Clavo para madera kg,Materiales de construcción,4,10.06,40.24
2025-05-20,Codo PVC 1/2 pulgada,Gasfitería,10,1.63,16.30
2025-05-20,Foco LED 9W luz fría,Electricidad,2,7.35,14.70
2025-05-20,Interruptor simple empotrable,Electricidad,8,8.86,70.88
2025-05-20,Pegamento cerámico 25 kg,Materiales de construcción,6,23.27,139.62
2025-05-20,Pintura látex blanca 1 gl,Pinturas,1,48.89,48.89
2025-05-20,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,1,8.46,8.46
2025-05-21,Destornillador plano 6 pulgadas,Herramientas manuales,3,9.11,27.33
2025-05-21,Pegamento cerámico 25 kg,Materiales de construcción,10,23.45,234.50
2025-05-22,Arandela plana 1/4 ciento,Tornillería y fijaciones,10,6.95,69.50
2025-05-23,Cinta aislante negra,Electricidad,10,3.66,36.60
2025-05-23,Guante de seguridad latex par,Seguridad industrial,1,6.89,6.89
2025-05-23,Guante de seguridad latex par,Seguridad industrial,1,6.63,6.63
2025-05-23,Interruptor simple empotrable,Electricidad,15,8.72,130.80
2025-05-23,Ladrillo pandereta unidad,Materiales de construcción,8,0.96,7.68
2025-05-23,Martillo de acero 16 oz,Herramientas manuales,5,26.82,134.10
2025-05-23,Pegamento cerámico 25 kg,Materiales de construcción,3,22.81,68.43
2025-05-23,Taladro percutor 650W,Herramientas eléctricas,3,192.49,577.47
2025-05-24,Protector auditivo tipo copa,Seguridad industrial,1,32.12,32.12
2025-05-24,Tomacorriente doble,Electricidad,2,11.21,22.42
2025-05-24,Tubo PVC agua 1/2 pulgada,Gasfitería,8,7.40,59.20
2025-05-25,Ladrillo pandereta unidad,Materiales de construcción,2,0.96,1.92
2025-05-26,Martillo de acero 16 oz,Herramientas manuales,3,26.57,79.71
2025-05-26,Rodillo felpa 9 pulgadas,Pinturas,2,15.42,30.84
2025-05-26,Sierra circular 7 1/4 pulgadas,Herramientas eléctricas,1,343.35,343.35
2025-05-27,Cinta teflón 12 mm,Gasfitería,6,1.97,11.82
2025-05-27,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,2,9.04,18.08
2025-05-28,Arandela plana 1/4 ciento,Tornillería y fijaciones,4,7.04,28.16
2025-05-28,Cemento bolsa 42.5 kg,Materiales de construcción,10,29.22,292.20
2025-05-28,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,1,9.29,9.29
2025-05-28,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,10,10.02,100.20
2025-05-29,Foco LED 9W luz fría,Electricidad,5,7.39,36.95
2025-05-29,Tubo PVC agua 1/2 pulgada,Gasfitería,4,7.84,31.36
2025-05-30,Chaleco reflectivo,Seguridad industrial,1,18.08,18.08
2025-05-30,Ladrillo pandereta unidad,Materiales de construcción,6,1.01,6.06
2025-05-30,Remache pop 1/8 ciento,Tornillería y fijaciones,4,14.89,59.56
2025-05-30,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,2,8.74,17.48
2025-05-30,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,8,9.89,79.12
2025-05-31,Guante de seguridad latex par,Seguridad industrial,4,6.79,27.16
2025-05-31,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,2,5.51,11.02
2025-06-01,Rodillo felpa 9 pulgadas,Pinturas,2,15.72,31.44
2025-06-02,Maceta plastica mediana,Jardinería,2,10.60,21.20
2025-06-03,Arena fina saco 40 kg,Materiales de construcción,6,9.71,58.26
2025-06-03,Clavo para madera kg,Materiales de construcción,6,9.86,59.16
2025-06-03,Clavo para madera kg,Materiales de construcción,4,9.58,38.32
2025-06-03,Juego de llaves mixtas 8 piezas,Herramientas manuales,2,59.44,118.88
2025-06-03,Pintura látex blanca 1 gl,Pinturas,1,50.01,50.01
2025-06-04,Alicate universal 8 pulgadas,Herramientas manuales,5,23.98,119.90
2025-06-04,Clavo para madera kg,Materiales de construcción,20,10.30,206.00
2025-06-05,Foco LED 9W luz fría,Electricidad,4,7.31,29.24
2025-06-05,Ladrillo pandereta unidad,Materiales de construcción,2,0.96,1.92
2025-06-05,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,10,5.68,56.80
2025-06-05,Tubo PVC agua 1/2 pulgada,Gasfitería,8,7.36,58.88
2025-06-06,Atornillador inalámbrico 12V,Herramientas eléctricas,2,176.18,352.36
2025-06-06,Cinta aislante negra,Electricidad,8,3.66,29.28
2025-06-06,Ladrillo pandereta unidad,Materiales de construcción,2,0.95,1.90
2025-06-06,Llave esférica 1/2 pulgada,Gasfitería,4,14.15,56.60
2025-06-06,Tubo PVC agua 1/2 pulgada,Gasfitería,1,7.41,7.41
2025-06-07,Brocha 2 pulgadas,Pinturas,3,7.23,21.69
2025-06-07,Cinta teflón 12 mm,Gasfitería,6,1.99,11.94
2025-06-07,Guante de seguridad latex par,Seguridad industrial,5,6.73,33.65
2025-06-07,Llave esférica 1/2 pulgada,Gasfitería,6,14.57,87.42
2025-06-07,Pegamento PVC 1/4 gl,Gasfitería,4,16.83,67.32
2025-06-09,Destornillador plano 6 pulgadas,Herramientas manuales,3,8.72,26.16
2025-06-09,Destornillador plano 6 pulgadas,Herramientas manuales,1,9.30,9.30
2025-06-10,Fertilizante universal 1 kg,Jardinería,1,14.63,14.63
2025-06-10,Llave esférica 1/2 pulgada,Gasfitería,4,14.65,58.60
2025-06-10,Martillo de acero 16 oz,Herramientas manuales,1,26.58,26.58
2025-06-10,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,2,9.85,19.70
2025-06-11,Aspersor plástico regulable,Jardinería,5,17.21,86.05
2025-06-11,Llave esférica 1/2 pulgada,Gasfitería,1,14.89,14.89
2025-06-11,Pintura látex blanca 1 gl,Pinturas,2,50.21,100.42
2025-06-12,Cinta aislante negra,Electricidad,1,3.48,3.48
2025-06-12,Cinta métrica 5 m,Herramientas manuales,4,14.20,56.80
2025-06-12,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,2,8.71,17.42
2025-06-13,Interruptor simple empotrable,Electricidad,3,9.26,27.78
2025-06-13,Rodillo felpa 9 pulgadas,Pinturas,6,15.75,94.50
2025-06-14,Chaleco reflectivo,Seguridad industrial,3,16.96,50.88
2025-06-14,Esmalte sintético negro 1/4 gl,Pinturas,4,26.86,107.44
2025-06-14,Pegamento cerámico 25 kg,Materiales de construcción,4,22.75,91.00
2025-06-14,Rastrillo metálico,Jardinería,2,33.41,66.82
2025-06-14,Rodillo felpa 9 pulgadas,Pinturas,1,15.06,15.06
2025-06-15,Codo PVC 1/2 pulgada,Gasfitería,1,1.54,1.54
2025-06-16,Mascarilla KN95 unidad,Seguridad industrial,5,2.55,12.75
2025-06-16,Pegamento cerámico 25 kg,Materiales de construcción,5,24.27,121.35
2025-06-16,Pegamento cerámico 25 kg,Materiales de construcción,6,23.33,139.98
2025-06-17,Pegamento cerámico 25 kg,Materiales de construcción,20,23.76,475.20
2025-06-17,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,8,19.22,153.76
2025-06-17,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,8,9.02,72.16
2025-06-17,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,5,8.37,41.85
2025-06-18,Alicate universal 8 pulgadas,Herramientas manuales,2,24.69,49.38
2025-06-18,Foco LED 9W luz fría,Electricidad,10,6.93,69.30
2025-06-18,Interruptor simple empotrable,Electricidad,2,9.19,18.38
2025-06-18,Protector auditivo tipo copa,Seguridad industrial,8,32.49,259.92
2025-06-19,Tomacorriente doble,Electricidad,15,11.37,170.55
2025-06-19,Tubo PVC agua 1/2 pulgada,Gasfitería,2,7.30,14.60
2025-06-19,Yeso bolsa 20 kg,Materiales de construcción,8,13.83,110.64
2025-06-20,Cinta aislante negra,Electricidad,10,3.69,36.90
2025-06-20,Foco LED 9W luz fría,Electricidad,2,6.90,13.80
2025-06-20,Ladrillo pandereta unidad,Materiales de construcción,3,0.95,2.85
2025-06-20,Rotomartillo SDS Plus,Herramientas eléctricas,1,446.33,446.33
2025-06-20,Tomacorriente doble,Electricidad,2,10.88,21.76
2025-06-20,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.51,75.10
2025-06-21,Brocha 2 pulgadas,Pinturas,2,7.35,14.70
2025-06-21,Fertilizante universal 1 kg,Jardinería,3,14.60,43.80
2025-06-21,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,1,9.00,9.00
2025-06-22,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.67,76.70
2025-06-23,Chaleco reflectivo,Seguridad industrial,10,17.50,175.00
2025-06-23,Lente de seguridad transparente,Seguridad industrial,4,10.03,40.12
2025-06-23,Martillo de acero 16 oz,Herramientas manuales,1,27.64,27.64
2025-06-24,Cemento bolsa 42.5 kg,Materiales de construcción,3,29.53,88.59
2025-06-24,Lija al agua grano 220,Pinturas,3,1.03,3.09
2025-06-24,Pegamento cerámico 25 kg,Materiales de construcción,8,22.68,181.44
2025-06-24,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,5,5.50,27.50
2025-06-25,Alicate universal 8 pulgadas,Herramientas manuales,1,24.38,24.38
2025-06-25,Brocha 2 pulgadas,Pinturas,6,7.34,44.04
2025-06-25,Destornillador plano 6 pulgadas,Herramientas manuales,5,9.28,46.40
2025-06-25,Ladrillo pandereta unidad,Materiales de construcción,8,0.96,7.68
2025-06-25,Tomacorriente doble,Electricidad,5,11.01,55.05
2025-06-26,Alambre recocido kg,Materiales de construcción,12,8.68,104.16
2025-06-26,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,1,158.94,158.94
2025-06-26,Cable THW 12 AWG metro,Electricidad,8,3.67,29.36
2025-06-26,Destornillador plano 6 pulgadas,Herramientas manuales,1,9.17,9.17
2025-06-26,Tomacorriente doble,Electricidad,8,11.06,88.48
2025-06-27,Esmalte sintético negro 1/4 gl,Pinturas,2,25.88,51.76
2025-06-27,Pegamento PVC 1/4 gl,Gasfitería,3,16.26,48.78
2025-06-27,Tubo PVC agua 1/2 pulgada,Gasfitería,10,7.52,75.20
2025-06-27,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,2,9.85,19.70
2025-06-28,Alambre recocido kg,Materiales de construcción,6,9.07,54.42
2025-06-28,Destornillador plano 6 pulgadas,Herramientas manuales,5,9.25,46.25
2025-06-29,Base selladora 1 gl,Pinturas,1,38.98,38.98
2025-06-29,Cable THW 12 AWG metro,Electricidad,1,3.49,3.49
2025-06-29,Cemento bolsa 42.5 kg,Materiales de construcción,20,29.19,583.80
2025-06-29,Destornillador plano 6 pulgadas,Herramientas manuales,3,9.23,27.69
2025-06-29,Lija al agua grano 220,Pinturas,2,1.00,2.00
2025-06-30,Codo PVC 1/2 pulgada,Gasfitería,2,1.56,3.12
2025-06-30,Ladrillo pandereta unidad,Materiales de construcción,15,0.95,14.25
2025-06-30,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,1,8.91,8.91
2025-06-30,Yeso bolsa 20 kg,Materiales de construcción,6,14.04,84.24
2025-07-01,Pegamento PVC 1/4 gl,Gasfitería,1,17.11,17.11
2025-07-01,Rodillo felpa 9 pulgadas,Pinturas,3,15.38,46.14
2025-07-01,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,1,8.90,8.90
2025-07-02,Casco de seguridad amarillo,Seguridad industrial,2,24.47,48.94
2025-07-02,Cemento bolsa 42.5 kg,Materiales de construcción,20,30.66,613.20
2025-07-02,Llave francesa 10 pulgadas,Herramientas manuales,1,39.68,39.68
2025-07-02,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,1,5.53,5.53
2025-07-03,Chaleco reflectivo,Seguridad industrial,8,17.37,138.96
2025-07-03,Foco LED 9W luz fría,Electricidad,10,7.10,71.00
2025-07-04,Cinta aislante negra,Electricidad,1,3.50,3.50
2025-07-04,Cinta teflón 12 mm,Gasfitería,2,2.06,4.12
2025-07-04,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,3,8.64,25.92
2025-07-05,Rodillo felpa 9 pulgadas,Pinturas,4,15.59,62.36
2025-07-05,Thinner acrílico 1 L,Pinturas,2,13.31,26.62
2025-07-05,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,2,8.91,17.82
2025-07-06,Amoladora angular 4.5 pulgadas,Herramientas eléctricas,3,151.54,454.62
2025-07-06,Foco LED 9W luz fría,Electricidad,2,7.29,14.58
2025-07-06,Pintura látex blanca 1 gl,Pinturas,1,47.56,47.56
2025-07-07,Brocha 2 pulgadas,Pinturas,4,7.44,29.76
2025-07-07,Cinta teflón 12 mm,Gasfitería,1,2.02,2.02
2025-07-07,Clavo para madera kg,Materiales de construcción,15,10.34,155.10
2025-07-07,Destornillador plano 6 pulgadas,Herramientas manuales,2,9.05,18.10
2025-07-07,Interruptor simple empotrable,Electricidad,15,8.89,133.35
2025-07-07,Pegamento PVC 1/4 gl,Gasfitería,2,17.00,34.00
2025-07-07,Pintura látex blanca 1 gl,Pinturas,6,48.72,292.32
2025-07-07,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,10,8.40,84.00
2025-07-07,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,2,8.58,17.16
2025-07-08,Destornillador plano 6 pulgadas,Herramientas manuales,1,8.64,8.64
2025-07-08,Martillo de acero 16 oz,Herramientas manuales,1,27.50,27.50
2025-07-08,Mascarilla KN95 unidad,Seguridad industrial,2,2.64,5.28
2025-07-08,Sierra circular 7 1/4 pulgadas,Herramientas eléctricas,1,334.99,334.99
2025-07-09,Pintura látex blanca 1 gl,Pinturas,2,49.23,98.46
2025-07-09,Yeso bolsa 20 kg,Materiales de construcción,2,14.11,28.22
2025-07-10,Arnés de seguridad cuerpo completo,Seguridad industrial,2,202.08,404.16
2025-07-10,Interruptor simple empotrable,Electricidad,5,9.11,45.55
2025-07-10,Lija al agua grano 220,Pinturas,1,1.04,1.04
2025-07-10,Lija al agua grano 220,Pinturas,1,1.06,1.06
2025-07-10,Martillo de acero 16 oz,Herramientas manuales,2,27.74,55.48
2025-07-10,Mascarilla KN95 unidad,Seguridad industrial,3,2.67,8.01
2025-07-10,Perno hexagonal 1/4 ciento,Tornillería y fijaciones,8,19.94,159.52
2025-07-10,Tomacorriente doble,Electricidad,5,10.97,54.85
2025-07-11,Alambre recocido kg,Materiales de construcción,4,9.25,37.00
2025-07-11,Ducha eléctrica 5500W,Gasfitería,10,93.99,939.90
2025-07-11,Guante de seguridad latex par,Seguridad industrial,2,6.54,13.08
2025-07-11,Ladrillo pandereta unidad,Materiales de construcción,6,0.98,5.88
2025-07-11,Ladrillo pandereta unidad,Materiales de construcción,15,0.95,14.25
2025-07-11,Martillo de acero 16 oz,Herramientas manuales,2,26.71,53.42
2025-07-11,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,8,8.67,69.36
2025-07-11,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,1,8.30,8.30
2025-07-12,Alicate universal 8 pulgadas,Herramientas manuales,4,23.95,95.80
2025-07-12,Cable THW 12 AWG metro,Electricidad,2,3.65,7.30
2025-07-12,Destornillador plano 6 pulgadas,Herramientas manuales,1,8.64,8.64
2025-07-12,Martillo de acero 16 oz,Herramientas manuales,5,27.68,138.40
2025-07-13,Alambre recocido kg,Materiales de construcción,10,9.09,90.90
2025-07-13,Guante de seguridad latex par,Seguridad industrial,2,6.64,13.28
2025-07-13,Lija al agua grano 220,Pinturas,2,1.06,2.12
2025-07-13,Martillo de acero 16 oz,Herramientas manuales,1,26.01,26.01
2025-07-14,Cinta métrica 5 m,Herramientas manuales,3,13.41,40.23
2025-07-14,Tubo PVC agua 1/2 pulgada,Gasfitería,8,7.67,61.36
2025-07-15,Cable THW 12 AWG metro,Electricidad,1,3.54,3.54
2025-07-15,Cemento bolsa 42.5 kg,Materiales de construcción,5,30.59,152.95
2025-07-15,Cemento bolsa 42.5 kg,Materiales de construcción,3,30.52,91.56
2025-07-15,Tuerca hexagonal 1/4 ciento,Tornillería y fijaciones,1,9.70,9.70
2025-07-16,Destornillador plano 6 pulgadas,Herramientas manuales,1,9.26,9.26
2025-07-16,Foco LED 9W luz fría,Electricidad,2,7.24,14.48
2025-07-16,Lente de seguridad transparente,Seguridad industrial,5,9.52,47.60
2025-07-16,Pegamento cerámico 25 kg,Materiales de construcción,1,24.10,24.10
2025-07-16,Tomacorriente doble,Electricidad,8,11.38,91.04
2025-07-16,Tomacorriente doble,Electricidad,1,11.04,11.04
2025-07-17,Arandela plana 1/4 ciento,Tornillería y fijaciones,5,6.77,33.85
2025-07-17,Mascarilla KN95 unidad,Seguridad industrial,8,2.50,20.00
2025-07-17,Rodillo felpa 9 pulgadas,Pinturas,6,16.15,96.90
2025-07-17,Tarugo plástico 6 mm ciento,Tornillería y fijaciones,1,5.37,5.37
2025-07-17,Tornillo drywall 1 pulgada ciento,Tornillería y fijaciones,5,8.25,41.25
2025-07-18,Codo PVC 1/2 pulgada,Gasfitería,2,1.64,3.28
2025-07-19,Interruptor simple empotrable,Electricidad,2,8.88,17.76
2025-07-19,Tomacorriente doble,Electricidad,3,10.98,32.94
2025-07-20,Alambre recocido kg,Materiales de construcción,8,8.69,69.52
2025-07-20,Alambre recocido kg,Materiales de construcción,8,9.26,74.08
2025-07-20,Cinta aislante negra,Electricidad,15,3.49,52.35
2025-07-20,Clavo para madera kg,Materiales de construcción,20,9.67,193.40
2025-07-20,Tomacorriente doble,Electricidad,3,11.22,33.66
2025-07-20,Tornillo autoperforante 3/4 ciento,Tornillería y fijaciones,2,8.87,17.74
2025-07-21,Cable THW 12 AWG metro,Electricidad,15,3.75,56.25
2025-07-21,Canaleta PVC 20x10 mm,Electricidad,15,4.59,68.85
2025-07-21,Manguera reforzada 15 m,Jardinería,1,48.39,48.39
2025-07-22,Interruptor simple empotrable,Electricidad,1,8.76,8.76
2025-07-22,Juego de llaves mixtas 8 piezas,Herramientas manuales,1,58.35,58.35
2025-07-22,Ladrillo pandereta unidad,Materiales de construcción,2,0.95,1.90
